counterparty 1 (reporting counterparty),counterparty 2,report submitting entity,uti,trade or allege,direction,direction of leg 1,direction of leg 2,report tracking number,isin,unique product identifier (upi),product classification,contract type,asset class,underlying identification type,underlying identification,confirmation timestamp,confirmed,clearing obligation,cleared,clearing timestamp,central counterparty,master agreement type,master agreement version,intragroup,ptrr,type of ptrr technique,ptrr service provider,venue of execution,execution timestamp,effective date,expiration date,early termination date,final contractual settlement date,delivery type,price,price currency,notional amount of leg 1,notional currency 1,effective date of the notional amount of leg 1,end date of the notional amount of leg 1,notional amount in effect on associated effective date of leg 1,total notional quantity of leg 1,effective date of the notional quantity of leg 1,end date of the notional quantity of leg 1,notional quantity in effect on associated effective date of leg 1,notional amount of leg 2,notional currency 2,effective date of the notional amount of leg 2,end date of the notional amount of leg 2,notional amount in effect on associated effective date of leg 2,total notional quantity of leg 2,effective date of the notional quantity of leg 2,end date of the notional quantity of leg 2,notional quantity in effect on associated effective date of leg 2,fixed rate of leg 1 or coupon,fixed rate or coupon day count convention leg 1,fixed rate or coupon payment frequency period leg 1,fixed rate or coupon payment frequency period multiplier leg 1,identifier of the floating rate of leg 1,indicator of the floating rate of leg 1,floating rate day count convention of leg 1,floating rate payment frequency period of leg 1,floating rate payment frequency period multiplier of leg 1,floating rate reference period of leg 1 – time period,floating rate reference period of leg 1 – multiplier,floating rate reset frequency period of leg 1,floating rate reset frequency multiplier of leg 1,fixed rate of leg 2,fixed rate day count convention leg 2,fixed rate payment frequency period leg 2,fixed rate payment frequency period multiplier leg 2,identifier of the floating rate of leg 2,indicator of the floating rate of leg 2,floating rate day count convention of leg 2,floating rate payment frequency period of leg 2,floating rate payment frequency period multiplier of leg 2,floating rate reference period of leg 2 – time period,floating rate reference period of leg 2 – multiplier,floating rate reset frequency period of leg 2,floating rate reset frequency multiplier of leg 2,option type,option style,maturity date of the underlying,seniority,reference entity,index factor,tranche,level
X3CZP3CK64YBHON1LE12,7CUNS533WID6K7DGFI87,X3CZP3CK64YBHON1LE12,635400MQZIPRVPDDZK76639692709L1A0,Trade,,TAKE_Trade,MAKE_Trade,639692709,EZ12CQMML568,,JFTXFP,FORW,CURR,,,2024-06-13T10:09:38Z,ECNF,UKWN,N,,,ISDA,1992.0,False,False,,,FXRQ,2024-06-13T09:09:42Z,2024-06-13,2024-11-18,,2024-11-18,PHYS,,,10000000.0,AUD,,,,,,,,6681350.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,7CUNS533WID6K7DGFI87,X3CZP3CK64YBHON1LE12,635400MQZIPRVPDDZK76639692709L1A0,Allege,,TAKE,,639692709,,,JFTXFP,FORW,CURR,,,2024-06-13T10:09:38Z,ECNF,UKWN,N,,,ISDA,1992.0,False,False,,,FXRQ,2024-06-13T09:09:42Z,2024-06-13,2024-11-18,,2024-11-18,PHYS,,,10000000.0,AUD,,,,,,,,6681350.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,7CUNS533WID6K7DGFI87,X3CZP3CK64YBHON1LE12,635400MQZIPRVPDDZK76591127859L1A0,Trade,,TAKE_Trade,MAKE_Trade,RTNNotProvided,EZZ7KC68YV42,,JFTXFP,FORW,CURR,,,2023-12-12T13:19:12Z,ECNF,UKWN,N,,,ISDA,1992.0,False,False,,,FXRQ,2023-12-12T13:13:01Z,2023-12-12,2024-09-16,,2024-09-16,PHYS,,,1000000.0,AUD,,,,,,,,663456.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,7CUNS533WID6K7DGFI87,X3CZP3CK64YBHON1LE12,635400MQZIPRVPDDZK76591127859L1A0,Allege,,TAKE,,RTNNotProvided,,,JFTXFP,FORW,CURR,,,2023-12-12T13:19:12Z,ECNF,UKWN,N,,,ISDA,1992.0,False,False,,,FXRQ,2023-12-12T13:13:01Z,2023-12-12,2024-09-16,,2024-09-16,PHYS,,,1000000.0,AUD,,,,,,,,663456.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,7CUNS533WID6K7DGFI87,X3CZP3CK64YBHON1LE12,529900P0204W9HA8JP36711851023L2,Trade,,TAKE_Trade,MAKE_Trade,RTNNotProvided,EZ6GKDFZM0B7,,JFTXFP,FORW,CURR,,,2024-02-19T15:15:10Z,ECNF,UKWN,N,,,ISDA,1992.0,False,False,,,360T,2024-02-19T15:09:18Z,2024-02-19,2024-11-29,,2024-11-29,PHYS,,,103174110.0,SEK,,,,,,,,10000000.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,7CUNS533WID6K7DGFI87,X3CZP3CK64YBHON1LE12,529900P0204W9HA8JP36711851023L2,Allege,,TAKE,,RTNNotProvided,,,JFTXFP,FORW,CURR,,,2024-02-19T15:15:10Z,ECNF,UKWN,N,,,ISDA,1992.0,False,False,,,360T,2024-02-19T15:09:18Z,2024-02-19,2024-11-29,,2024-11-29,PHYS,,,103174110.0,SEK,,,,,,,,10000000.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,7CUNS533WID6K7DGFI87,X3CZP3CK64YBHON1LE12,549300ROEJDDAXM6LU05BBG0000000000B6671377857D00067,Trade,,MAKE_Trade,TAKE_Trade,,,QZKC6FFQL6Q3,JFTXFP,FORW,CURR,,,2024-06-18T07:42:16Z,ECNF,UKWN,N,,,ISDA,1992.0,False,False,,,BMTF,2024-06-18T07:33:06Z,2024-06-18,2024-07-11,,2024-07-11,PHYS,,,7000000.0,EUR,,,,,,,,7520100.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,7CUNS533WID6K7DGFI87,X3CZP3CK64YBHON1LE12,549300ROEJDDAXM6LU05BBG0000000000B6671377857D00067,Allege,,MAKE,,,,QZKC6FFQL6Q3,JFTXFP,FORW,CURR,,,2024-06-18T07:42:16Z,ECNF,UKWN,N,,,ISDA,1992.0,False,False,,,BMTF,2024-06-18T07:33:06Z,2024-06-18,2024-07-11,,2024-07-11,PHYS,,,7000000.0,EUR,,,,,,,,7520100.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,7CUNS533WID6K7DGFI87,X3CZP3CK64YBHON1LE12,254900QBKK4WBSO3GE51BBG0000000000B65FAEB70E034003E,Trade,BYER_Trade,,,RTNNotProvided,EZT75QZT1FC7,,HFTAVP,OPTN,CURR,,,2024-03-22T15:00:03Z,YCNF,UKWN,N,,,ISDA,1992.0,False,False,,,BTFE,2024-03-21T14:44:59Z,2024-03-21,2025-03-21,,2025-03-25,PHYS,,,1200000.0,EUR,,,,,,,,1042080.0,GBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CALL,EURO,,,,,,TCTN
X3CZP3CK64YBHON1LE12,7CUNS533WID6K7DGFI87,X3CZP3CK64YBHON1LE12,254900QBKK4WBSO3GE51BBG0000000000B65FAEB70E034003E,Allege,BYER,,,RTNNotProvided,,,HFTAVP,OPTN,CURR,,,2024-03-22T15:00:03Z,YCNF,UKWN,N,,,ISDA,1992.0,False,False,,,BTFE,2024-03-21T14:44:59Z,2024-03-21,2025-03-21,,2025-03-25,PHYS,,,1200000.0,EUR,,,,,,,,1042080.0,GBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CALL,EURO,,,,,,TCTN
