counterparty 1 (reporting counterparty),counterparty 2,report submitting entity,uti,trade or allege,direction,direction of leg 1,direction of leg 2,report tracking number,isin,unique product identifier (upi),product classification,contract type,asset class,underlying identification type,underlying identification,confirmation timestamp,confirmed,clearing obligation,cleared,clearing timestamp,central counterparty,master agreement type,master agreement version,intragroup,ptrr,type of ptrr technique,ptrr service provider,venue of execution,execution timestamp,effective date,expiration date,early termination date,final contractual settlement date,delivery type,price,price currency,notional amount of leg 1,notional currency 1,effective date of the notional amount of leg 1,end date of the notional amount of leg 1,notional amount in effect on associated effective date of leg 1,total notional quantity of leg 1,effective date of the notional quantity of leg 1,end date of the notional quantity of leg 1,notional quantity in effect on associated effective date of leg 1,notional amount of leg 2,notional currency 2,effective date of the notional amount of leg 2,end date of the notional amount of leg 2,notional amount in effect on associated effective date of leg 2,total notional quantity of leg 2,effective date of the notional quantity of leg 2,end date of the notional quantity of leg 2,notional quantity in effect on associated effective date of leg 2,fixed rate of leg 1 or coupon,fixed rate or coupon day count convention leg 1,fixed rate or coupon payment frequency period leg 1,fixed rate or coupon payment frequency period multiplier leg 1,identifier of the floating rate of leg 1,indicator of the floating rate of leg 1,floating rate day count convention of leg 1,floating rate payment frequency period of leg 1,floating rate payment frequency period multiplier of leg 1,floating rate reference period of leg 1 – time period,floating rate reference period of leg 1 – multiplier,floating rate reset frequency period of leg 1,floating rate reset frequency multiplier of leg 1,fixed rate of leg 2,fixed rate day count convention leg 2,fixed rate payment frequency period leg 2,fixed rate payment frequency period multiplier leg 2,identifier of the floating rate of leg 2,indicator of the floating rate of leg 2,floating rate day count convention of leg 2,floating rate payment frequency period of leg 2,floating rate payment frequency period multiplier of leg 2,floating rate reference period of leg 2 – time period,floating rate reference period of leg 2 – multiplier,floating rate reset frequency period of leg 2,floating rate reset frequency multiplier of leg 2,option type,option style,maturity date of the underlying,seniority,reference entity,index factor,tranche,level
X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06,X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06O00000000000004578668C,Allege,,TAKE,,RTNNotReceived,,,SRHCSP,SWAP,INTR,,,,,UKWN,Y,2024-01-10T15:24:10Z,529900LN3S50JPU47S06,OTHR,,False,False,,,BTFE,2024-01-10T15:24:06Z,2024-01-12,2025-01-13,,2025-01-13,PHYS,,,300000.0,EUR,,,,,,,,300000.0,EUR,,,,,,,,3.3435,A004,EXPI,1.0,,,,,,,,,,,,,,,,A004,EXPI,1.0,,,EXPI,1.0,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06,X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06O00000000000004926246C,Trade,,TAKE_Trade,MAKE_Trade,BBG0000000000B6645FDE3ADCC006B,EZ0TQ3X3WH41,,SRCCSP,SWAP,INTR,,,,,UKWN,Y,2024-05-16T12:37:56Z,529900LN3S50JPU47S06,OTHR,,False,False,,,BTFE,2024-05-16T12:37:37Z,2024-06-19,2024-12-18,,2024-12-18,PHYS,,,500000000.0,EUR,,,,,,,,500000000.0,EUR,,,,,,,,3.615,A004,EXPI,1.0,,,,,,,,,,,,,,,EURI,A004,MNTH,3.0,MNTH,3.0,MNTH,3.0,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06,X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06O00000000000004926246C,Allege,,TAKE,,BBG0000000000B6645FDE3ADCC006B,,,SRCCSP,SWAP,INTR,,,,,UKWN,Y,2024-05-16T12:37:56Z,529900LN3S50JPU47S06,OTHR,,False,False,,,BTFE,2024-05-16T12:37:37Z,2024-06-19,2024-12-18,,2024-12-18,PHYS,,,500000000.0,EUR,,,,,,,,500000000.0,EUR,,,,,,,,3.615,A004,EXPI,1.0,,,,,,,,,,,,,,,EURI,A004,MNTH,3.0,,,MNTH,3.0,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06,X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06O00000000000004480989C,Trade,,MAKE_Trade,TAKE_Trade,RTNNotReceived,EZNRR3DB11Z1,,SRCCSP,SWAP,INTR,,,,,UKWN,Y,2023-12-04T12:48:42Z,529900LN3S50JPU47S06,OTHR,,False,False,,,TWEM,2023-12-04T12:48:38Z,2023-12-06,2038-12-06,,2038-12-06,PHYS,,,10500000.0,EUR,,,,,,,,10500000.0,EUR,,,,,,,,2.94219,A001,YEAR,1.0,,,,,,,,,,,,,,EU0009652791,EURI,A004,MNTH,6.0,MNTH,6.0,MNTH,6.0,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06,X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06O00000000000004480989C,Allege,,MAKE,,RTNNotReceived,,,SRCCSP,SWAP,INTR,,,,,UKWN,Y,2023-12-04T12:48:42Z,529900LN3S50JPU47S06,OTHR,,False,False,,,TWEM,2023-12-04T12:48:38Z,2023-12-06,2038-12-06,,2038-12-06,PHYS,,,10500000.0,EUR,,,,,,,,10500000.0,EUR,,,,,,,,2.94219,A001,YEAR,1.0,,,,,,,,,,,,,,EU0009652791,EURI,A004,MNTH,6.0,,,MNTH,6.0,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06,X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06O00000000000004730100C,Trade,,MAKE_Trade,TAKE_Trade,RTNNotReceived,EZTSCC3DMJ77,,SRHCSP,SWAP,INTR,,,,,UKWN,Y,2024-02-27T10:26:47Z,529900LN3S50JPU47S06,OTHR,,False,False,,,BTFE,2024-02-27T10:26:39Z,2024-02-29,2025-03-01,,2025-03-01,PHYS,,,100000000.0,EUR,,,,,,,,100000000.0,EUR,,,,,,,,3.476,A004,EXPI,1.0,,,,,,,,,,,,,,,,A004,EXPI,1.0,EXPI,1.0,EXPI,1.0,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06,X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06O00000000000004730100C,Allege,,MAKE,,RTNNotReceived,,,SRHCSP,SWAP,INTR,,,,,UKWN,Y,2024-02-27T10:26:47Z,529900LN3S50JPU47S06,OTHR,,False,False,,,BTFE,2024-02-27T10:26:39Z,2024-02-29,2025-03-01,,2025-03-01,PHYS,,,100000000.0,EUR,,,,,,,,100000000.0,EUR,,,,,,,,3.476,A004,EXPI,1.0,,,,,,,,,,,,,,,,A004,EXPI,1.0,,,EXPI,1.0,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06,X3CZP3CK64YBHON1LE12,1050000007O00000000000002784459C,Trade,,TAKE_Trade,MAKE_Trade,RTNNotReceived,EZJVYCBNQPG3,,SRCCSP,SWAP,INTR,,,,,UKWN,Y,2022-02-16T09:09:56Z,529900LN3S50JPU47S06,OTHR,,False,False,,,BTFE,2022-02-16T09:09:51Z,2022-02-18,2042-02-18,,2042-02-18,PHYS,,,25000000.0,EUR,,,,,,,,25000000.0,EUR,,,,,,,,0.9396,A001,YEAR,1.0,,,,,,,,,,,,,,,EURI,A004,MNTH,3.0,MNTH,3.0,MNTH,3.0,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06,X3CZP3CK64YBHON1LE12,1050000007O00000000000002784459C,Allege,,TAKE,,RTNNotReceived,,,SRCCSP,SWAP,INTR,,,,,UKWN,Y,2022-02-16T09:09:56Z,529900LN3S50JPU47S06,OTHR,,False,False,,,BTFE,2022-02-16T09:09:51Z,2022-02-18,2042-02-18,,2042-02-18,PHYS,,,25000000.0,EUR,,,,,,,,25000000.0,EUR,,,,,,,,0.9396,A001,YEAR,1.0,,,,,,,,,,,,,,,EURI,A004,MNTH,3.0,,,MNTH,3.0,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06,X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06O00000000000004538398C,Trade,,MAKE_Trade,TAKE_Trade,RTNNotReceived,EZ08TY3JHV81,,SRHCSP,SWAP,INTR,,,,,UKWN,Y,2023-12-19T10:47:01Z,529900LN3S50JPU47S06,OTHR,,False,False,,,BTFE,2023-12-19T10:46:55Z,2023-12-21,2024-12-21,,2024-12-21,PHYS,,,50000000.0,EUR,,,,,,,,50000000.0,EUR,,,,,,,,3.3309,A004,EXPI,1.0,,,,,,,,,,,,,,,,A004,EXPI,1.0,EXPI,1.0,EXPI,1.0,,,,,,,,TCTN
